orchestra_id,orchestra,orchestra_count,date,title,text,link
68,SAY NO YES YES 吹奏楽チーム 20+1周年記念演奏会,1,2018-03-04,SAY NO YES YES 吹奏楽チーム 20+1周年記念演奏会,●SAY NO YES YES 吹奏楽チーム 20+1周年記念演奏会2018年3月4日(日)かつしかシンフォニーヒルズモーツァルトホール　大橋晃一 (東京芸術大学非常勤講師)、野田祐介 (群馬交響楽団第一クラリネット奏者)指揮ジェイムズ・バーンズ： アルヴァマー序曲（オーケストラアレンジ大橋晃一） （世界初演）  他,http://i-amabile.com/concert/saynoyesyes_brass180304
252,平成26年度入学 東京学芸大学 B類音楽専攻生 卒業コンサート ボナペティ 〜最後のおもてなし〜,1,2018-03-03,平成26年度入学 東京学芸大学 B類音楽専攻生 卒業コンサート ボナペティ 〜最後のおもてなし〜,●平成26年度入学 東京学芸大学 B類音楽専攻生 卒業コンサート ボナペティ 〜最後のおもてなし〜2018年3月3日(土)小金井 宮地楽器ホール 大ホール他,http://i-amabile.com/concert/concert180303
29,Trio Ellipses トリオエリップス　コンサート,2,2018-02-25,Trio Ellipses トリオエリップス　コンサート,●Trio Ellipses トリオエリップス　コンサート2018年2月25日(日)青山音楽記念館　Barocksaal バロックザールマチュー・ステファネッリ： ヴァイオリンチェロピアノのための3重奏 （日本初演）  他,http://i-amabile.com/concert/trio_ellipses180225
177,Trio Ellipses Trio Ellipses トリオエリップス　コンサート,1,2018-02-24,Trio Ellipses Trio Ellipses トリオエリップス　コンサート,●Trio Ellipses Trio Ellipses トリオエリップス　コンサート2018年2月24日(土)5/R Hall&Gallery音楽ホールマチュウ・ステファネッリ： ヴァイオリンチェロピアノのための3重奏 （日本初演）  他,http://i-amabile.com/concert/trio_ellipses180224
29,Trio Ellipses トリオエリップス　コンサート,2,2018-02-23,Trio Ellipses トリオエリップス　コンサート,●Trio Ellipses トリオエリップス　コンサート2018年2月23日(金)Hakujyu Hallマチュウ・ステファネッリ： ヴァイオリンチェロピアノのための3重奏 （日本初演）  他,http://i-amabile.com/concert/trio_ellipses180223
238,Percussion Duo B&B 浜松公演,1,2018-02-17,Percussion Duo B&B 浜松公演,●Percussion Duo B&B 浜松公演2018年2月17日(土)アクトシティ浜松 音楽工房ホール野々村俊輔： 三つの幻奏詩  他 （世界初演）  他,http://i-amabile.com/concert/b_and_b180217
246,大人になっていくときに見る夢,1,2018-01-31,大人になっていくときに見る夢,●大人になっていくときに見る夢2018年1月31日(水)東京オペラシティ・リサイタルホール　宗像　礼指揮ジェームス・クラーク： 2016-E （日本初演）  レベッカ・サンダース： Shadow(2013) （日本初演）  宗像　礼： Okaeri II for ensemble (2017)世界初演 （世界初演）  大原裕子： 『大人になっていくときに見る夢』(2017)委嘱作品 （世界初演）  他,http://i-amabile.com/concert/concert180131
63,アモーレブラスバンド ,1,2018-01-21,アモーレブラスバンド 第18回定期演奏会,●アモーレブラスバンド 第18回定期演奏会2018年1月21日(日)エポックなかはら　百瀬　太智指揮Mario Bürki： Gratitude Hymn （日本初演）  他,http://i-amabile.com/concert/amorebrass18
186,日本交響楽団 ,1,2018-01-14,日本交響楽団 第9回定期演奏会,●日本交響楽団 第9回定期演奏会2018年1月14日(日)小山市立文化センター　大ホール　髙山 健児指揮矢内 弘子： テューバとティンパニの為の協奏曲 （世界初演）  他,http://i-amabile.com/concert/nipponsymphony9
243,劇団おとみっく おぺら「コジファン･ゲーム」～オペラ「コジ･ファン･トゥッテ」より～,1,2017-12-27,劇団おとみっく おぺら「コジファン･ゲーム」～オペラ「コジ･ファン･トゥッテ」より～,●劇団おとみっく おぺら「コジファン･ゲーム」～オペラ「コジ･ファン･トゥッテ」より～2017年12月27日(水)武蔵野公会堂（吉祥寺駅）Ｗ．Ａ．モーツァルト： cosi fan tutte～日本語台本・大石哲史（オペラシアターこんにゃく座） （世界初演）  他,http://i-amabile.com/concert/gekidanotomic171227
235,浪江まち物語つたえ隊 浪江まち物語コンサート＜絵おと芝居＞池袋公演,1,2017-12-21,浪江まち物語つたえ隊 浪江まち物語コンサート＜絵おと芝居＞池袋公演,●浪江まち物語つたえ隊 浪江まち物語コンサート＜絵おと芝居＞池袋公演2017年12月21日(木)自由学園「明日館」東海林悦子： なみえ母・娘避難物語 （世界初演）  東海林悦子： 甚六の狐退治 （日本初演）  他,http://i-amabile.com/concert/namiematimonogatari171221
294,浪江まち物語つたえ隊 浪江まち物語コンサート＜絵おと芝居＞新宿公演,1,2017-12-18,浪江まち物語つたえ隊 浪江まち物語コンサート＜絵おと芝居＞新宿公演,●浪江まち物語つたえ隊 浪江まち物語コンサート＜絵おと芝居＞新宿公演2017年12月18日(月)全労済ホール／スペース・ゼロ吉原りえ： 浪江ちち牛物語 （世界初演）  吉原りえ： 米作と狐 （世界初演）  吉原りえ： あんば様 （世界初演）  他,http://i-amabile.com/concert/namiematimonogatari171218
153,厚木交響楽団 ,1,2017-12-17,厚木交響楽団 第79回定期演奏会,●厚木交響楽団 第79回定期演奏会2017年12月17日(日)厚木市文化会館大ホール　田久保　裕一指揮マドセン： ホルン協奏曲 （日本初演）  他,http://i-amabile.com/concert/atsugi_so79
106,Brass Ensemble Saturday ,1,2017-12-16,Brass Ensemble Saturday 第10回記念定期演奏会 ～新たな10年に向かって～,●Brass Ensemble Saturday 第10回記念定期演奏会 ～新たな10年に向かって～2017年12月16日(土)京都市立京都堀川音楽高等学校 音楽ホール高橋宏樹： 委嘱新作 （世界初演）  他,http://i-amabile.com/concert/be_saturday10
98,Andy Music Expressionism,1,2017-12-16,Andy Music Expressionism,●Andy Music Expressionism2017年12月16日(土)高輪プリンセスガルテン音楽ホール / アンビエンテAndy： 序章 - Expressionism （日本初演）  Andy： 遥かに望む富士を眺む （日本初演）  Andy： 梅雨空と共に歩む明治神宮 （日本初演）  他,http://i-amabile.com/concert/andy_music171216
273,太鼓堂 冬の交差点 ～ 江村夏樹ピアノ独奏＋3人の演奏家たち,1,2017-12-13,太鼓堂 冬の交差点 ～ 江村夏樹ピアノ独奏＋3人の演奏家たち,●太鼓堂 冬の交差点 ～ 江村夏樹ピアノ独奏＋3人の演奏家たち2017年12月13日(水)汐留ベヒシュタイン・サロン江村夏樹： 冬の交差点 (2017) （世界初演）  他,http://i-amabile.com/concert/taikodo171213
107,グリーン・タイ ウインド・アンサンブル 後期演奏会,1,2017-12-12,グリーン・タイ ウインド・アンサンブル 後期演奏会,●グリーン・タイ ウインド・アンサンブル 後期演奏会2017年12月12日(火)洗足学園音楽大学 前田ホール　ダグラス・ボストック指揮L.V.ベートーヴェン(伊藤康英編曲)： 交響曲「ウェリントンの勝利またはヴィットリアの戦い」 作品91 （日本初演）  伊藤康英： グリーンスリーヴスの主題による幻想曲 （世界初演）  他,http://i-amabile.com/concert/senzoku_gwe171212
200,慶應義塾ワグネル・ソサィエティ・オーケストラ・ホルンパート ホルンセクションコンサート,1,2017-12-10,慶應義塾ワグネル・ソサィエティ・オーケストラ・ホルンパート ホルンセクションコンサート,●慶應義塾ワグネル・ソサィエティ・オーケストラ・ホルンパート ホルンセクションコンサート2017年12月10日(日)慶應義塾大学 日吉キャンパス協生館 藤原洋記念ホール　阪本正彦指揮J.ウィリアムズ： 組曲「スターウォーズ」(ホルン12重奏) （世界初演）  R.シュトラウス(阪本正彦 編曲)： 組曲「薔薇の騎士」(全体合奏) （世界初演）  他,http://i-amabile.com/concert/wagner_hr171210
27,昭和ホルンアンサンブル ,2,2017-12-09,昭和ホルンアンサンブル 第22回定期演奏会,●昭和ホルンアンサンブル 第22回定期演奏会2017年12月9日(土)昭和音楽大学 南校舎5F ユリホール　樋口哲生(大編成のみ)指揮野呂望： ホルン四重奏のための4つの小品 （世界初演）  他,http://i-amabile.com/concert/showa_hr_ens22
185,Solo Ensemble Concert Vol.1 Elegy,1,2017-12-08,Solo Ensemble Concert Vol.1 Elegy,●Solo Ensemble Concert Vol.1 Elegy2017年12月8日(金)東京建物八重洲ホール他,http://i-amabile.com/concert/concert171208
210,會田瑞樹 會田瑞樹と五線紙上の恋人たち,1,2017-12-05,會田瑞樹 會田瑞樹と五線紙上の恋人たち,●會田瑞樹 會田瑞樹と五線紙上の恋人たち2017年12月5日(火)杉並公会堂小ホール薮田翔一・會田瑞樹： 時代は独裁者を求める （世界初演）  清水一徹： Paravis （世界初演）  他,http://i-amabile.com/concert/mizukiaita171205
133,慶應義塾大学ウインドアンサンブル 創立40周年記念 ,1,2017-12-03,慶應義塾大学ウインドアンサンブル 創立40周年記念 第78回定期演奏会,●慶應義塾大学ウインドアンサンブル 創立40周年記念 第78回定期演奏会2017年12月3日(日)ミューザ川崎　シンフォニーホール　津田雄二郎(当団常任指揮者)、中橋愛生(40周年記念委嘱作品作曲者）、吉岡知輝(本年度学生指揮者)指揮中橋愛生： 創立40周年記念委嘱作品 （世界初演）  他,http://i-amabile.com/concert/keiowind78
19,オーケストラ・ソノーレ長野 ,2,2017-11-26,オーケストラ・ソノーレ長野 第34回定期演奏会,●オーケストラ・ソノーレ長野 第34回定期演奏会2017年11月26日(日)ホクト文化ホール　中ホール　米崎　栄和指揮G.F.マリピエロ： 4つのインヴェンション （日本初演）  他,http://i-amabile.com/concert/sonorenagano34
271,ノワ・アコルデ音楽アートサロン スウェーデンと日本の未来のクラシック音楽,1,2017-11-05,ノワ・アコルデ音楽アートサロン スウェーデンと日本の未来のクラシック音楽,●ノワ・アコルデ音楽アートサロン スウェーデンと日本の未来のクラシック音楽2017年11月5日(日)ノワ・アコルデ音楽アートサロン髙橋渓太郎：  （日本初演）  渡辺裕紀子：  （日本初演）  桑原ゆう： Three Voices for String Trio （日本初演）  他,http://i-amabile.com/concert/noix_accordees171105
130,国立音楽大学打楽器アンサンブル　,1,2017-10-29,国立音楽大学打楽器アンサンブル　第48回定期演奏会～フランスと日本の作品による～,●国立音楽大学打楽器アンサンブル　第48回定期演奏会～フランスと日本の作品による～2017年10月29日(日)国立音楽大学講堂大ホール　福田隆指揮神本真理： 2017年度国立音楽大学打楽器アンサンブル委嘱作品 （世界初演）  他,http://i-amabile.com/concert/kunitachidaken48
